fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free SO2,total SO2,density,pH,sulphates,alcohol,type
7.4,0.64,0.03,2.1,0.076,15,34,0.9979,3.41,0.6,10.4,Red
8.1,0.45,0.28,1.9,0.07,22,60,0.9969,3.32,0.65,11.0,Red
6.9,0.7,0.0,1.5,0.079,10,28,0.9984,3.5,0.52,9.6,White
9.2,0.34,0.4,2.4,0.062,25,70,0.9971,3.18,0.72,11.8,Red
7.7,0.58,0.06,2.0,0.074,16,44,0.9968,3.43,0.57,10.1,White
10.1,0.32,0.44,2.6,0.059,24,67,0.9975,3.15,0.79,12.2,White
6.6,0.63,0.02,1.8,0.082,14,30,0.9978,3.47,0.55,9.8,White
8.4,0.39,0.34,2.3,0.068,20,57,0.997,3.28,0.64,10.9,White
7.1,0.52,0.09,2.0,0.075,17,45,0.9967,3.4,0.59,10.2,White
9.6,0.31,0.37,2.7,0.06,26,73,0.9973,3.2,0.76,12.0,Red
